dateTime,do,Anomaly 1,Anomaly 2,ph,Anomaly,turb,Anomaly,amm,Anomaly,cond,Anomaly 1,Anomaly 2,temp,Anomaly 1,Anomaly 2,Anomaly 3,Difference (T1-T2),Average difference over 3 hour window,,,,,
6/19/2019 9:37,4.81,0,0,7.31,0,2.00,0,1.08,0,937.0,0,0,18.24,0,0,0,,,,,,6/19/2019,43635
6/19/2019 9:50,5.06,0,0,7.32,0,2.10,0,1.12,0,942.0,0,0,18.25,0,0,0,0.01,0.01,,,,,43695
6/19/2019 10:05,5.06,0,0,7.32,0,1.90,0,1.11,0,941.0,0,0,18.28,0,0,0,0.03,0.02,,,,,
6/19/2019 10:20,5.12,0,0,7.33,0,2.20,0,1.11,0,935.0,0,0,18.30,0,0,0,0.02,0.02,,,,,
6/19/2019 11:05,5.42,0,0,7.37,0,2.10,0,1.07,0,928.0,0,0,18.31,0,0,0,0.01,0.03,,,,,
6/19/2019 12:05,6.02,0,0,7.42,0,2.00,0,1.03,0,915.0,0,0,18.37,0,0,0,0.06,0.02,,,,,
6/19/2019 13:05,6.11,0,0,7.46,0,2.00,0,1.00,0,901.0,0,0,18.37,0,0,0,0.00,0.02,,,,,
6/19/2019 14:05,6.28,0,0,7.49,0,1.90,0,1.00,0,897.0,0,0,18.38,0,0,0,0.01,0.01,,,,,
6/19/2019 15:05,6.44,0,0,7.49,0,2.30,0,1.02,0,898.0,0,0,18.41,0,0,0,0.03,0.05,,,,,
6/19/2019 16:05,6.83,0,0,7.49,0,1.80,0,1.06,0,911.0,0,0,18.52,0,0,0,0.11,0.13,,,,,
6/19/2019 17:05,7.30,0,0,7.48,0,3.20,0,1.10,0,937.0,0,0,18.76,0,0,0,0.24,0.19,,,,,
6/19/2019 18:05,7.91,0,0,7.46,0,2.20,0,1.11,0,943.0,0,0,18.98,0,0,0,0.22,0.13,,,,,
6/19/2019 19:05,7.24,0,0,7.46,0,6.80,1,1.07,0,889.0,0,1,18.90,0,0,0,-0.08,0.00,,,,,
6/19/2019 20:05,6.20,0,0,7.40,0,10.30,1,1.09,0,885.0,0,1,18.77,0,0,0,-0.13,-0.18,,,,,
6/19/2019 21:05,5.53,0,0,7.32,0,11.10,1,1.01,0,833.0,0,1,18.43,0,0,0,-0.34,-0.23,,,,,
