dateTime,do,ph,turb,amm,cond,temp
2019-06-19 09:37:28,4.81,7.31,2.0,1.076,937.0,18.24
2019-06-19 09:50:47,5.06,7.32,2.1,1.115,942.0,18.25
2019-06-19 10:05:48,5.06,7.32,1.9,1.108,941.0,18.28
2019-06-19 10:20:48,5.12,7.33,2.2,1.107,935.0,18.3
2019-06-19 11:05:48,5.42,7.37,2.1,1.069,928.0,18.31
2019-06-19 12:05:48,6.02,7.42,2.0,1.033,915.0,18.37
2019-06-19 13:05:48,6.11,7.46,2.0,1.001,901.0,18.37
2019-06-19 14:05:48,6.28,7.49,1.9,0.996,897.0,18.38
2019-06-19 15:05:48,6.44,7.49,2.3,1.023,898.0,18.41
2019-06-19 16:05:48,6.83,7.49,1.8,1.059,911.0,18.52
2019-06-19 17:05:48,7.3,7.48,3.2,1.103,937.0,18.76
2019-06-19 18:05:48,7.91,7.46,2.2,1.113,943.0,18.98
2019-06-19 19:05:48,7.24,7.46,6.8,1.071,889.0,18.9
2019-06-19 20:05:48,6.2,7.4,10.3,1.094,885.0,18.77
2019-06-19 21:05:48,5.53,7.32,11.1,1.012,833.0,18.43
2019-06-19 22:05:48,5.46,7.27,11.7,0.909,744.0,18.21
2019-06-19 23:05:48,5.48,7.27,10.1,0.854,712.0,18.06
2019-06-20 00:05:48,5.4,7.23,8.2,0.824,707.0,18.1
2019-06-20 01:05:48,9.2,7.63,0.2,0.691,3.0,18.15
2019-06-20 02:05:48,5.52,7.2,5.8,0.897,748.0,18.23
2019-06-20 03:05:48,5.23,7.21,4.9,0.944,766.0,18.25
2019-06-20 04:05:48,5.08,7.22,4.4,0.992,780.0,18.22
2019-06-20 05:05:48,5.12,7.23,3.7,1.057,799.0,18.2
2019-06-20 06:05:48,4.94,7.24,3.2,1.083,818.0,18.2
2019-06-20 07:05:48,5.1,7.21,2.8,1.342,3.0,18.19
2019-06-20 08:05:48,5.42,7.28,2.6,1.046,836.0,18.27
2019-06-20 09:05:48,5.73,7.31,2.6,1.011,840.0,18.35
2019-06-20 10:05:48,6.12,7.34,2.5,0.977,835.0,18.41
2019-06-20 11:05:48,6.46,7.38,2.3,0.935,824.0,18.44
2019-06-20 12:05:48,6.6,7.41,2.9,0.904,813.0,18.43
2019-06-20 13:05:48,6.87,7.45,2.4,0.875,809.0,18.45
2019-06-20 14:05:48,7.29,7.48,1.9,0.88,815.0,18.5
2019-06-20 15:05:48,7.57,7.49,5.2,0.897,824.0,18.62
2019-06-20 16:05:48,8.01,7.49,1.8,0.923,839.0,18.8
2019-06-20 17:05:56,8.43,7.49,1.7,0.942,851.0,18.97
2019-06-20 18:05:48,8.45,7.47,2.0,0.949,854.0,19.0
2019-06-20 19:05:48,8.4,7.47,1.6,0.941,853.0,18.95
2019-06-20 20:05:48,8.3,7.48,1.5,0.933,851.0,18.87
2019-06-20 21:05:48,8.09,7.47,1.6,0.924,851.0,18.77
2019-06-20 22:05:48,7.93,7.48,1.6,0.919,849.0,18.66
2019-06-20 23:05:48,7.83,7.48,1.7,0.911,851.0,18.55
2019-06-21 00:05:48,7.55,7.47,1.8,0.906,852.0,18.41
2019-06-21 01:05:48,7.08,7.46,1.8,0.902,854.0,18.25
2019-06-21 02:05:48,6.64,7.43,1.5,0.906,861.0,18.12
2019-06-21 03:05:48,6.33,7.4,1.3,0.919,870.0,18.02
2019-06-21 04:05:48,6.07,7.38,1.3,0.932,879.0,17.94
2019-06-21 05:05:48,5.94,7.35,1.5,0.953,886.0,17.88
2019-06-21 06:05:48,5.85,7.34,1.2,0.951,890.0,17.86
2019-06-21 07:05:48,5.97,7.34,1.2,0.951,893.0,17.87
2019-06-21 08:05:48,6.16,7.35,1.0,0.944,484.0,17.93
2019-06-21 09:05:48,6.51,7.37,1.2,0.96,895.0,18.0
2019-06-21 10:05:48,7.14,7.41,1.4,0.946,893.0,18.13
2019-06-21 11:05:48,7.48,7.46,1.2,0.933,889.0,18.22
2019-06-21 12:05:48,7.89,7.53,1.4,0.919,881.0,18.31
2019-06-21 13:05:48,8.16,7.59,1.6,0.9,877.0,18.38
2019-06-21 14:05:48,8.39,7.64,1.6,0.906,878.0,18.41
2019-06-21 14:23:47,8.47,7.64,1.7,0.914,880.0,18.5
2019-06-21 15:05:48,8.69,7.66,1.9,0.934,889.0,18.56
2019-06-21 16:05:48,8.96,7.66,1.9,0.993,907.0,18.7
2019-06-21 17:05:48,9.28,7.63,1.8,1.04,926.0,19.01
2019-06-21 18:05:48,9.57,7.6,1.7,1.079,938.0,19.34
2019-06-21 19:05:48,9.71,7.58,1.5,1.1,943.0,19.58
2019-06-21 20:05:48,9.51,7.56,1.6,1.11,943.0,19.61
2019-06-21 21:05:48,9.19,7.55,1.7,1.11,940.0,19.51
2019-06-21 22:05:48,8.96,7.54,1.7,1.105,938.0,19.41
2019-06-21 23:05:48,8.8,7.56,2.0,1.088,934.0,19.35
2019-06-22 00:05:48,8.49,7.55,2.2,1.086,935.0,19.25
2019-06-22 01:05:48,8.01,7.53,1.8,1.089,939.0,19.11
